Exps,Level,ExpUnit,DropExps,DropGold,TotalExps,ArenaMaxDmg,RaidTotalDmg,ConquestTotalDmg,ScarecrowTotalDmg
360000,98,10000,418,243,7596030,34019403,56491397,169474193,93682275
1000000,99,10000,422,245,8596030,35811409,58751053,176253161,97429566
1000000,100,10000,422,245,9596030,37697811,61101095,183303287,101326749
1000000,101,10000,422,245,10596030,39683581,63545139,190635418,105379819
1000000,102,10000,422,245,11596030,41773953,66086945,198260835,109595012
1000000,103,10000,422,245,12596030,43974438,68730423,206191268,113978812
1000000,104,10000,422,245,13596030,46290835,71479640,214438919,118537964
1000000,105,10000,422,245,14596030,48729251,74338826,223016476,123279483
1000000,106,10000,422,245,15596030,51296113,77312379,231937135,128210662
1000000,107,10000,422,245,16596030,53998187,80404874,241214620,133339088
1000000,108,10000,422,245,17596030,56842595,83621069,250863205,138672652
1000000,109,10000,422,245,18596030,59836836,86965912,260897733,144219558
1000000,110,10000,422,245,19596030,62988801,90444548,271333642,149988340
1000000,111,10000,422,245,20596030,66306799,94062330,282186988,155987874
1000000,112,10000,422,245,21596030,69799576,97824823,293474468,162227389
1000000,113,10000,422,245,22596030,73476338,101737816,305213447,168716485
1000000,114,10000,422,245,23596030,77346778,105807329,317421985,175465144
1000000,115,10000,422,245,24596030,81421097,110039622,330118864,182483750
1000000,116,10000,422,245,25596030,85710035,114441207,343323619,189783100
1000000,117,10000,422,245,26596030,90224897,119018855,357056564,197374424
1000000,118,10000,422,245,27596030,94977584,123779609,371338827,205269401
1000000,119,10000,422,245,28596030,99980623,128730793,386192380,213480177
1000000,120,10000,422,245,29596030,105247202,133880025,401640075,222019384
1000000,121,10000,422,245,30596030,110791204,139235226,417705678,230900159
1000000,122,10000,422,245,31596030,116627241,144804635,434413905,240136165
1000000,123,10000,422,245,32596030,122770698,150596820,451790461,249741612
1000000,124,10000,422,245,33596030,129237767,156620693,469862079,259731276
1000000,125,10000,422,245,34596030,136045496,162885521,488656562,270120527
1000000,126,10000,422,245,35596030,143211829,169400942,508202824,280925348
1000000,127,10000,422,245,36596030,150755655,176176980,528530937,292162362
1000000,128,10000,422,245,37596030,158696860,183224059,549672174,303848856
1000000,129,10000,422,245,38596030,167056376,190553021,571659061,316002810
1000000,130,10000,422,245,39596030,175856238,198175142,594525423,328642922
1000000,131,10000,422,245,40596030,185119641,206102148,618306440,341788639
1000000,132,10000,422,245,41596030,194871003,214346234,643038698,355460185
1000000,133,10000,422,245,42596030,205136028,222920083,668760246,369678592
1000000,134,10000,422,245,43596030,215941773,231836886,695510656,384465736
1000000,135,10000,422,245,44596030,227316722,241110361,723331082,399844365
1000000,136,10000,422,245,45596030,239290858,250754775,752264325,415838140
1000000,137,10000,422,245,46596030,251895743,260784966,782354898,432471666
1000000,138,10000,422,245,47596030,265164603,271216365,813649094,449770533
1000000,139,10000,422,245,48596030,279132414,282065020,846195058,467761354
1000000,140,10000,422,245,49596030,293835993,293347621,880042860,486471808
1000000,141,10000,422,245,50596030,309314098,305081526,915244574,505930680
1000000,142,10000,422,245,51596030,325607527,317284787,951854357,526167907
1000000,143,10000,422,245,52596030,342759229,329976178,989928531,547214623
1000000,144,10000,422,245,53596030,360814414,343175225,1029525672,569103208
1000000,145,10000,422,245,54596030,379820674,356902234,1070706699,591867336
1000000,146,10000,422,245,55596030,399828108,371178323,1113534967,615542029
1000000,147,10000,422,245,56596030,420889453,386025456,1158076366,640163710
1000000,148,10000,422,245,57596030,443060226,401466474,1204399421,665770258
1000000,149,10000,422,245,58596030,466398866,417525133,1252575398,692401068
1000000,150,10000,422,245,59596030,485054821,434226138,1302678414,720097111
1000000,151,10000,422,245,60596030,0,0,0,0
1000000,152,10000,422,245,61596030,0,0,0,0
1000000,153,10000,422,245,62596030,0,0,0,0
1000000,154,10000,422,245,63596030,0,0,0,0
1000000,155,10000,422,245,64596030,0,0,0,0
1000000,156,10000,422,245,65596030,0,0,0,0
1000000,157,10000,422,245,66596030,0,0,0,0
1000000,158,10000,422,245,67596030,0,0,0,0
1000000,159,10000,422,245,68596030,0,0,0,0
1000000,160,10000,422,245,69596030,0,0,0,0
1000000,161,10000,422,245,70596030,0,0,0,0
1000000,162,10000,422,245,71596030,0,0,0,0
1000000,163,10000,422,245,72596030,0,0,0,0
1000000,164,10000,422,245,73596030,0,0,0,0
1000000,165,10000,422,245,74596030,0,0,0,0
1000000,166,10000,422,245,75596030,0,0,0,0
1000000,167,10000,422,245,76596030,0,0,0,0
1000000,168,10000,422,245,77596030,0,0,0,0
1000000,169,10000,422,245,78596030,0,0,0,0
1000000,170,10000,422,245,79596030,0,0,0,0
1000000,171,10000,422,245,80596030,0,0,0,0
1000000,172,10000,422,245,81596030,0,0,0,0
1000000,173,10000,422,245,82596030,0,0,0,0
1000000,174,10000,422,245,83596030,0,0,0,0
1000000,175,10000,422,245,84596030,0,0,0,0
1000000,176,10000,422,245,85596030,0,0,0,0
1000000,177,10000,422,245,86596030,0,0,0,0
1000000,178,10000,422,245,87596030,0,0,0,0
1000000,179,10000,422,245,88596030,0,0,0,0
1000000,180,10000,422,245,89596030,0,0,0,0
1000000,181,10000,422,245,90596030,0,0,0,0
1000000,182,10000,422,245,91596030,0,0,0,0
1000000,183,10000,422,245,92596030,0,0,0,0
1000000,184,10000,422,245,93596030,0,0,0,0
1000000,185,10000,422,245,94596030,0,0,0,0
1000000,186,10000,422,245,95596030,0,0,0,0
1000000,187,10000,422,245,96596030,0,0,0,0
1000000,188,10000,422,245,97596030,0,0,0,0
1000000,189,10000,422,245,98596030,0,0,0,0
1000000,190,10000,422,245,99596030,0,0,0,0
1000000,191,10000,422,245,100596030,0,0,0,0
1000000,192,10000,422,245,101596030,0,0,0,0
1000000,193,10000,422,245,102596030,0,0,0,0
1000000,194,10000,422,245,103596030,0,0,0,0
1000000,195,10000,422,245,104596030,0,0,0,0
1000000,196,10000,422,245,105596030,0,0,0,0
1000000,197,10000,422,245,106596030,0,0,0,0
1000000,198,10000,422,245,107596030,0,0,0,0
1000000,199,10000,422,245,108596030,0,0,0,0
1000000,200,10000,422,245,109596030,0,0,0,0
1000000,201,10000,422,245,110596030,0,0,0,0
1000000,202,10000,422,245,111596030,0,0,0,0
1000000,203,10000,422,245,112596030,0,0,0,0
1000000,204,10000,422,245,113596030,0,0,0,0
1000000,205,10000,422,245,114596030,0,0,0,0
1000000,206,10000,422,245,115596030,0,0,0,0
1000000,207,10000,422,245,116596030,0,0,0,0
1000000,208,10000,422,245,117596030,0,0,0,0
1000000,209,10000,422,245,118596030,0,0,0,0
1000000,210,10000,422,245,119596030,0,0,0,0
1000000,211,10000,422,245,120596030,0,0,0,0
1000000,212,10000,422,245,121596030,0,0,0,0
1000000,213,10000,422,245,122596030,0,0,0,0
1000000,214,10000,422,245,123596030,0,0,0,0
1000000,215,10000,422,245,124596030,0,0,0,0
1000000,216,10000,422,245,125596030,0,0,0,0
1000000,217,10000,422,245,126596030,0,0,0,0
1000000,218,10000,422,245,127596030,0,0,0,0
1000000,219,10000,422,245,128596030,0,0,0,0
