Exps,Level,ExpUnit,DropExps,DropGold,TotalExps,ArenaMaxDmg,RaidTotalDmg,ConquestTotalDmg,ScarecrowTotalDmg
4033,35,640,198,149,45015,9290507,18328936,26660271,42553999
4440,36,710,201,150,49455,9476317,18695515,27193476,43405079
4884,37,780,205,152,54339,9665843,19069425,27737346,44273181
5402,38,810,208,153,59741,9859160,19450813,28292093,45158645
5957,39,890,212,155,65698,10056343,19839829,28857935,46061818
6586,40,990,215,156,72284,10257470,20236626,29435094,46983054
7289,41,1040,219,158,79573,10462619,20641359,30023796,47922715
8103,42,1150,222,159,87676,10671871,21054186,30624272,48881169
9028,43,1220,226,161,96704,10885308,21475270,31236757,49858792
10064,44,1300,229,162,106768,11103014,21904775,31861492,50855968
11248,45,1400,233,164,118016,11325074,22342870,32498722,51873087
12580,46,1500,236,165,130596,11551575,22789727,33148696,52910549
14097,47,1600,240,167,144693,11782606,23245522,33811670,53968760
15836,48,1700,243,168,160529,12018258,23710432,34487903,55048135
17686,49,1900,247,170,178215,12258623,24184641,35177661,56149098
19573,50,2000,250,171,197788,12503795,24668334,35881214,57272080
21497,51,2100,254,173,219285,12753871,25161701,36598838,58417522
23458,52,2200,257,174,242743,13008948,25664935,37330815,59585872
25456,53,2300,261,176,268199,13269127,26178234,38077431,60777589
27491,54,2400,264,177,295690,13534510,26701799,38838980,61993141
29563,55,2600,268,179,325253,13805200,27235835,39615760,63233004
31672,56,2700,271,180,356925,14081304,27780552,40408075,64497664
33818,57,2800,275,182,390743,14362930,28336163,41216236,65787617
36001,58,2900,278,183,426744,14650189,28902886,42040561,67103369
38221,59,3000,282,185,464965,14943193,29480944,42881372,68445436
40478,60,3100,285,186,505443,15242057,30070563,43738999,69814345
42772,61,3200,289,188,548215,15546898,30671974,44613779,71210632
45103,62,3300,292,189,593318,15857836,31285413,45506055,72634845
47471,63,3400,296,191,640789,16174993,31911121,46416176,74087542
49876,64,3500,299,192,690665,16498493,32549343,47344500,75569293
52318,65,3600,303,194,742983,16828463,33200330,48291390,77080679
54797,66,3700,306,195,797780,17165032,33864337,49257218,78622293
57313,67,3800,310,197,855093,17508333,34541624,75363543,80194739
59866,68,3900,313,198,914959,17858500,35937105,52272153,83434607
62456,69,4000,317,200,977415,18215670,37388964,54383948,86805365
65083,70,4100,320,201,1042498,18579983,38899478,56581059,90312302
67747,71,4200,324,203,1110245,18951583,40471017,58866934,93960919
70448,72,4300,327,204,1180693,19330615,42106046,61245158,97756940
73186,73,4400,331,206,1253879,19717227,43807130,63719462,101706320
74000,74,10000,334,207,1327879,20111572,45576938,66293728,105815255
76812,75,10000,338,209,1404691,20513803,47418246,68971995,110090191
79661,76,10000,341,210,1484352,20924079,49333943,71758464,114537835
82547,77,10000,345,212,1566899,21342561,51327034,74657506,119165164
85470,78,10000,348,213,1652369,21769412,53400646,77673669,123979437
88430,79,10000,352,215,1740799,22204800,55558032,80811685,128988206
91427,80,10000,355,216,1832226,22648896,57802576,84076477,134199330
94461,81,10000,359,218,1926687,23101874,60137800,87473167,139620983
97532,82,10000,362,219,2024219,23563911,62567367,92080904,145261671
100640,83,20000,366,221,2124859,24176573,65095089,96931358,151130243
103785,84,20000,369,222,2228644,24805164,67724931,102037314,157235905
106967,85,20000,373,224,2335611,25450098,70461018,107412232,163588236
110186,86,20000,376,225,2445797,26111801,73307643,113070279,170197201
113442,87,20000,380,227,2559239,26790708,76269272,119026369,177073168
116735,88,20000,383,228,2675974,27487266,79350551,125296202,184226924
120065,89,20000,387,230,2796039,28201935,82556313,131896305,191669692
123432,90,20000,390,231,2919471,28935185,85891588,138844075,199413148
126836,91,20000,394,233,3046307,44531250,89361608,146157825,207469439
130277,92,20000,397,234,3176584,31251319,92971817,153856835,215851204
133755,93,20000,401,236,3310339,32897513,96727878,161961398,224571593
137270,94,20000,404,237,3447609,34630422,100635684,170492877,233644285
140822,95,20000,408,239,3588431,36454614,104701366,179473760,243083514
144411,96,20000,411,240,3732842,38374897,108931301,188927720,252904088
148037,97,20000,415,242,3880879,40396333,113332126,198879677,263121413
151700,98,30000,418,243,4032579,42524250,117910744,209355863,273751518
330000,99,30000,422,245,4362579,44764257,122674338,220383892,284811079
330000,100,30000,422,245,4692579,47122259,123410384,231992834,286519945
330000,101,30000,422,245,5022579,47404993,124150846,233384791,288239065
330000,102,30000,422,245,5352579,47689423,124895751,234785100,289968499
330000,103,30000,422,245,5682579,47975560,125645126,236193811,291708310
330000,104,30000,422,245,6012579,48263413,126398997,237610974,293458560
330000,105,40000,422,245,6342579,48552993,127157391,239036640,295219311
330000,106,40000,422,245,6672579,48844311,127920335,240470860,296990627
330000,107,50000,422,245,7002579,49137377,128687857,241913685,298772571
330000,108,50000,422,245,7332579,49432201,129459984,243365167,300565206
330000,109,50000,422,245,7662579,49728794,130236744,244825358,302368597
330000,110,50000,422,245,7992579,50027167,131018164,246294310,304182809
330000,111,50000,422,245,8322579,50327330,131804273,247772076,306007906
330000,112,50000,422,245,8652579,50629294,132595099,249258708,307843953
330000,113,50000,422,245,8982579,50933070,133390670,250754260,309691017
330000,114,50000,422,245,9312579,51238668,134191014,252258786,311549163
330000,115,50000,422,245,9642579,51546100,134996160,253772339,313418458
330000,116,50000,422,245,9972579,51855377,135806137,255294973,315298969
330000,117,50000,422,245,10302579,52166509,136620974,256826743,317190763
330000,118,50000,422,245,10632579,52479508,137440700,258367703,319093908
330000,119,50000,422,245,10962579,52794385,138265344,259917909,321008471
330000,120,50000,422,245,11292579,53111151,139094936,261477416,322934522
330000,121,50000,422,245,11622579,53429818,139929506,263046280,324872129
330000,122,50000,422,245,11952579,53750397,140769083,264624558,326821362
330000,123,50000,422,245,12282579,54072899,141613697,266212305,328782290
330000,124,50000,422,245,12612579,54397336,142463379,267809579,330754984
330000,125,50000,422,245,12942579,54723720,143318159,269416436,332739514
330000,126,50000,422,245,13272579,55052062,144178068,271032935,334735951
330000,127,50000,422,245,13602579,55382374,145043136,272659133,336744367
330000,128,50000,422,245,13932579,55714668,145913395,274295088,338764833
330000,129,50000,422,245,14262579,56048956,146788875,275940859,340797422
330000,130,50000,422,245,14592579,56385250,147669608,277596504,342842207
330000,131,50000,422,245,14922579,56723562,148555626,279262083,344899260
330000,132,50000,422,245,15252579,57063903,149446960,280937655,346968656
330000,133,50000,422,245,15582579,57406286,150343642,282623281,349050468
330000,134,50000,422,245,15912579,57750724,151245704,284319021,351144771
330000,135,50000,422,245,16242579,58097228,152153178,286024935,353251640
330000,136,50000,422,245,16572579,58445811,153066097,287741085,355371150
330000,137,50000,422,245,16902579,58796486,153984494,289467532,357503377
330000,138,50000,422,245,17232579,59149265,154908401,291204337,359648397
330000,139,50000,422,245,17562579,59504161,155837851,292951563,361806287
330000,140,50000,422,245,17892579,59861186,156772878,294709272,363977125
330000,141,50000,422,245,18222579,60220353,157713515,296477528,366160988
330000,142,50000,422,245,18552579,60581675,158659796,298256393,368357954
330000,143,50000,422,245,18882579,60945165,159611755,300045931,370568102
330000,144,50000,422,245,19212579,61310836,160569426,301846207,372791511
330000,145,50000,422,245,19542579,61678701,161532843,303657284,375028260
330000,146,50000,422,245,19872579,62048773,162502040,305479228,377278430
330000,147,50000,422,245,20202579,62421066,163477052,307312103,379542101
330000,148,50000,422,245,20532579,62795592,164457914,309155976,381819354
330000,149,50000,422,245,20862579,63172366,165444661,311010912,384110270
330000,150,50000,422,245,21192579,63551400,166437329,312876977,386414932
330000,151,50000,422,245,21522579,0,0,0,0
330000,152,50000,422,245,21852579,0,0,0,0
330000,153,50000,422,245,22182579,0,0,0,0
330000,154,50000,422,245,22512579,0,0,0,0
330000,155,50000,422,245,22842579,0,0,0,0
330000,156,50000,422,245,23172579,0,0,0,0
330000,157,50000,422,245,23502579,0,0,0,0
330000,158,50000,422,245,23832579,0,0,0,0
330000,159,50000,422,245,24162579,0,0,0,0
330000,160,50000,422,245,24492579,0,0,0,0
330000,161,50000,422,245,24822579,0,0,0,0
330000,162,50000,422,245,25152579,0,0,0,0
330000,163,50000,422,245,25482579,0,0,0,0
330000,164,50000,422,245,25812579,0,0,0,0
330000,165,50000,422,245,26142579,0,0,0,0
330000,166,50000,422,245,26472579,0,0,0,0
330000,167,50000,422,245,26802579,0,0,0,0
330000,168,50000,422,245,27132579,0,0,0,0
330000,169,50000,422,245,27462579,0,0,0,0
330000,170,50000,422,245,27792579,0,0,0,0
330000,171,50000,422,245,28122579,0,0,0,0
330000,172,50000,422,245,28452579,0,0,0,0
330000,173,50000,422,245,28782579,0,0,0,0
330000,174,50000,422,245,29112579,0,0,0,0
330000,175,50000,422,245,29442579,0,0,0,0
330000,176,50000,422,245,29772579,0,0,0,0
330000,177,50000,422,245,30102579,0,0,0,0
330000,178,50000,422,245,30432579,0,0,0,0
330000,179,50000,422,245,30762579,0,0,0,0
330000,180,50000,422,245,31092579,0,0,0,0
330000,181,50000,422,245,31422579,0,0,0,0
330000,182,50000,422,245,31752579,0,0,0,0
330000,183,50000,422,245,32082579,0,0,0,0
330000,184,50000,422,245,32412579,0,0,0,0
330000,185,50000,422,245,32742579,0,0,0,0
330000,186,50000,422,245,33072579,0,0,0,0
330000,187,50000,422,245,33402579,0,0,0,0
330000,188,50000,422,245,33732579,0,0,0,0
330000,189,50000,422,245,34062579,0,0,0,0
330000,190,50000,422,245,34392579,0,0,0,0
330000,191,50000,422,245,34722579,0,0,0,0
330000,192,50000,422,245,35052579,0,0,0,0
330000,193,50000,422,245,35382579,0,0,0,0
330000,194,50000,422,245,35712579,0,0,0,0
330000,195,50000,422,245,36042579,0,0,0,0
330000,196,50000,422,245,36372579,0,0,0,0
330000,197,50000,422,245,36702579,0,0,0,0
330000,198,50000,422,245,37032579,0,0,0,0
10000000,199,50000,422,245,47032579,0,0,0,0
10000000,200,50000,422,245,57032579,0,0,0,0
10000000,201,50000,422,245,67032579,0,0,0,0
10000000,202,50000,422,245,77032579,0,0,0,0
10000000,203,50000,422,245,87032579,0,0,0,0
10000000,204,50000,422,245,97032579,0,0,0,0
10000000,205,50000,422,245,107032579,0,0,0,0
10000000,206,50000,422,245,117032579,0,0,0,0
10000000,207,50000,422,245,127032579,0,0,0,0
10000000,208,50000,422,245,137032579,0,0,0,0
10000000,209,50000,422,245,147032579,0,0,0,0
10000000,210,50000,422,245,157032579,0,0,0,0
10000000,211,50000,422,245,167032579,0,0,0,0
10000000,212,50000,422,245,177032579,0,0,0,0
10000000,213,50000,422,245,187032579,0,0,0,0
10000000,214,50000,422,245,197032579,0,0,0,0
10000000,215,50000,422,245,207032579,0,0,0,0
10000000,216,50000,422,245,217032579,0,0,0,0
10000000,217,50000,422,245,227032579,0,0,0,0
10000000,218,50000,422,245,237032579,0,0,0,0
10000000,219,50000,422,245,247032579,0,0,0,0
