Status,Action,Heroes,Loadouts,Code-traced loadouts,Resolved data-model loadouts,Validation
Resolved,BasicSupport:Dokkaebi,Dokkaebi Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:DragonDaughter,Dragon Daughter,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:Eleanor,Eleanor,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:ExorcistGirl,Exorcist Girl,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:FallenQueen,Fallen Queen Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Fern,Fern,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:FestivalGirl,Festival Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:FireBishop,Fire Bishop,6,0,6,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:FireHarpy,Fire Harpy Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:FlameStrike,Dragon Boy,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:FlowerGirl,Flower Girl,6,0,6,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:ForestElf,Estel,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Frieren,Frieren,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:FutureKnight,Future Knight,6,0,6,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:FuturePrincess,Future Princess,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:GnomeDoctor,Noel,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:GoatGirl,Goat Girl,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:GolemRider,Golem Rider,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:GuardianAngel,Guardian Angel,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:HalfVampire,Half Vampire,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Hana,Hana,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:HeroAi,Hero Ai,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:IdolCaptain,Idol Captain Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields; Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Innuit,Innuit Ascent,10,0,10,Action-specific Lua/graph model plus recovered record fields
Code-traced,BasicSupport:InvaderKnight,Beth,8,8,0,"Direct coefficient, Myth override and hit sequence"
Resolved,BasicSupport:JadeShaman,Jade Shaman,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Kamael,Kamael,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Kunoichi,Kunoichi,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:LadyThief,Lady Thief Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:LeafFairy,Aoba,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:LegendaryHero,Erina,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Librarian,Librarian,6,0,6,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:LifeguardYuze,Lifeguard Yuze,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Lina,Lina,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Maam,Maam,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:MechaAndroid,Mk.99,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Mercenary,Mercenary Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Mermaid,Mermaid,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:MilkywayGirl,Milkyway Girl,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:MsChrome,Ms Chrome,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Necromancer,Noxia,3,0,3,Recovered character and summon DPS branches
Resolved,BasicSupport:NinjaLeader,Ninja Leader,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:PandaGirl,Xiaoman,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:PartyMadPanda,Party Mad Panda,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:Parvati,Parvati,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:PixyGirl,Pixy Girl,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:PlagueDoctor,Plague Doctor,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:Popp,Popp,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Priestess,Priestess,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:Saintess,Saintess Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SeaWitch,Sea Witch,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SecretAgent,Anna,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SheepGirl,Sheep Girl,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Shuran,Shuran,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:SlimeMilim,Slime Milim,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SlimeRimuru,Slime Rimuru,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SlimeShuna,Slime Shuna,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SoulpowerGirl,Soulpower Girl,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Stark,Stark,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SteamPrincess,Steam Princess,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:StoreAngelLua,Gabriel,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:StreamerGirl,Ruri,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Succubus,Succubus,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:SuccubusNoble,Bianca,8,0,8,Action-specific Lua/graph model plus recovered record fields; Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SummerAmy,Summer Amy,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:SummerAndroid,Summer Android Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SummerLoraine,Summer Loraine,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SummerShapira,Summer Shapira,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Sunyeo,Sunyeo Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:SurferSohee,Surfer Sohee,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Tanker,Tanker Ascent,10,0,10,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:TwinsAndroid,Nifty,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:UptownLancerGirl,Uptown Lancer Girl,6,0,6,Recovered support collision DPS field
Resolved,BasicSupport:ValentineAmeris,Valentine Ameris,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:VampireCaptain,Vampire Captain,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:VampireLord,Vampire Lord,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:VampireNoble,Vampire Noble Ascent,10,0,10,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Viking,Viking,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,BasicSupport:VillainAndroid,Villain Android,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:VillainRedhood,Villain Redhood Myth,8,0,8,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Watcher,Watcher,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:WhiteBeast,White Beast,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:WhiteDruid,White Druid,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:WhitedayGirgas,Whiteday Girgas,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,BasicSupport:Xellos,Xellos,3,0,3,Recovered aggregate TotalDpsMult field
Resolved,CwpAdmiral,Marina,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpAkayukiAkaoni,Akayuki,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpAlpacaGirl,Mayreel,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpBakeneko,Bakeneko Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpBattleballGirl,Rie,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpBlueDragon,Blue Dragon,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpBoatracingGirl,Boatracing Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpCaptainRabbit,Captain Rabbit,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpChinaChef,Lynn,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpChinaUltimateIceFlameBomb,China Hero Ascent,10,0,10,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpCyborgMonk,Cyborg Monk,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDai,Dai,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDancingArcherDesertRain,Tinia,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDemonBrother,Demon Brother,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDemonCeo,Demon Ceo,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDemonEngineer,Demon Engineer,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDemonGovernor,Demon Governor,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDemonInspector,Demon Inspector,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDemonOperator,Demon Operator,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDemonPowergirl,Demon Powergirl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDemonSister,Demon Sister,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDemonSlayer,Andras,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDesertSlaveEarthquake,Desert Slave,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDesertelfHunter,Desertelf Hunter,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDokkaebi,Dokkaebi Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDollGirlDragonTalon,Doll Girl,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDragonBoy,Dragon Boy,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpDragonDaughter,Dragon Daughter,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpEightTailFoxFireBomb,Nari,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpEleanor,Eleanor,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpEugeneMotorcycleStunt,Eugene,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpExorcistGirl,Exorcist Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFallenQueen,Fallen Queen Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFern,Fern,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFestivalGirlFanBoomerang,Festival Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFireBishop2,Fire Bishop,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFireBishopFlameOfDestruction,Fire Bishop,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFireHarpy,Fire Harpy Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFlowerGirl,Flower Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFlowerGirl2,Flower Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpForestElf,Estel,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFrieren,Frieren,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFutureKnight,Future Knight,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFutureKnight2,Future Knight,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpFuturePrincess,Future Princess,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpGaram,Garam,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpGaram2,Garam,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpGhostBusterMagitonChain,Ghost Buster,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpGoatGirl,Goat Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpGolemRiderTremorsOfTheEarth,Golem Rider,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpGourry,Gourry,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpGuardianAngel,Guardian Angel,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpHalfVampire,Half Vampire,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpHana,Hana,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpHeroAi,Hero Ai,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpIdolCaptainRainbowSherbet,Idol Captain Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpInnuit,Innuit Ascent,10,0,10,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpInvaderKnight,Beth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpJadeShaman,Jade Shaman,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpKamael,Kamael,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpKnightCaptainSpearImpact,Knightcaptain,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpKnightThunderStrike,Rie,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpKunoichi,Kunoichi,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpLadyThief,Lady Thief Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpLeafFairy,Aoba,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpLegendaryHero,Erina,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpLibrarian2,Librarian,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpLibrarianTaegeuk,Librarian,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpLifeguardYuze,Lifeguard Yuze,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpLina,Lina,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpMaam,Maam,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpMadScientistFormulaA,Mad Scientist Myth,18,0,18,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpMaidFickleLady,Amy; Viking,16,0,16,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpMaiden,Maiden,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpMechaAndroid,Mk.99,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpMercenary,Mercenary Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpMermaid,Mermaid,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpMilkywayGirl,Milkyway Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpMsChromeManager,Ms Chrome,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpNecromancer,Noxia,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpNinjaLeader,Ninja Leader,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPandaGirl,Xiaoman,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPartyMadPanda,Party Mad Panda,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpParvati,Parvati,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPet,Pet,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPirateBlueRoseBlossom,Rachel,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPixyGirl,Pixy Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPlagueDoctor,Plague Doctor,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPlitvice2,Plitvice,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPlitviceFlameOfPurification,Plitvice,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPopp,Popp,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpPriestess,Priestess,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpRedhoodNewtonApple,Redhood Ascent,10,0,10,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpRobotTanker2,Oghma,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpRobotTankerPressureField,Oghma,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpRudolph,Rudolph,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpRudolph2,Rudolph,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSaintess,Saintess Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSeaWitch,Sea Witch,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSecretAgent,Anna,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSheepGirl,Sheep Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpShuran,Shuran,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSlimeMilim,Slime Milim,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSlimeRimuru,Slime Rimuru,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSlimeShuna,Slime Shuna,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSniper,Hekate,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSoulpowerGirl,Soulpower Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpStark,Stark,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSteamKnight,Steam Knight,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSteamPrincessImperialOrder,Steam Princess,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpStoreAngel,Gabriel,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpStreamerGirl,Ruri,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSuccubusHeartBreaker,Succubus,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSuccubusNoble,Bianca,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSummerAmy,Summer Amy,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSummerAndroid,Summer Android Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSummerLoraine,Summer Loraine,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSummerShapira,Summer Shapira,3,0,3,Action-specific Lua/graph model plus recovered record fields
Code-traced,CwpSunyeo,Sunyeo Myth,8,8,0,Source-traced direct-damage or no-damage path
Resolved,CwpSurferSohee,Surfer Sohee,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSurvivorAutoGuidedArrow,Survivor,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpSwindlerMeteorStrike,Dolf,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpTanker,Tanker Ascent,10,0,10,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpTeatanHeroDestructionFire,Teatan Hero,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpTwinsAndroid,Nifty,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpUptownLancerGirl,Uptown Lancer Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpUptownLancerGirl2,Uptown Lancer Girl,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpValentineAmeris,Valentine Ameris,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpVampireCaptain,Vampire Captain,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpVampireLord,Vampire Lord,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpVampireNoble,Vampire Noble Ascent,10,0,10,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpVillainAndroid,Villain Android,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpVillainRedhoodPlasmaGrenade,Villain Redhood Myth,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpWatcher,Watcher,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpWhiteBeast,White Beast,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpWhiteDruid,White Druid,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpWhitedayGirgas,Whiteday Girgas,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpWitchCocoHellHound,Witch Coco,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,CwpXellos,Xellos,3,0,3,Action-specific Lua/graph model plus recovered record fields
Resolved,DancingArcherSupport,Tinia,3,0,3,Recovered primary and additional DPS fields
Resolved,EightTailSupport,Nari,3,0,3,Recovered native total-damage field and schedule
Resolved,EugeneSupport,Eugene,8,0,8,Action-specific Lua/graph model plus recovered record fields
Resolved,GaramSupport,Garam,6,0,6,Recovered aggregate TotalDpsMult field
Resolved,GnomeStomp,Gnome,1,0,1,Shared native action default reconstructed from its attack window
Resolved,GraphCombo:AdelaNobleFirst,Adela Noble Myth,8,0,8,Every ApplyDamage node in the extracted graph has a resolved GetModifier input
Resolved,GraphCombo:AdelaNobleFourth,Adela Noble Myth,8,0,8,Every ApplyDamage node in the extracted graph has a resolved GetModifier input
Resolved,GraphCombo:AdelaNobleSecond,Adela Noble Myth,8,0,8,Every ApplyDamage node in the extracted graph has a resolved GetModifier input
Resolved,GraphCombo:AdelaNobleThird,Adela Noble Myth,8,0,8,Every ApplyDamage node in the extracted graph has a resolved GetModifier input
Resolved,GraphCombo:AliciaFirst,Alicia,8,0,8,Recovered ModifierBase passed to the shared DPS helper
Resolved,GraphCombo:AliciaFourth,Alicia,8,0,8,Recovered ModifierBase passed to the shared DPS helper
Resolved,GraphCombo:AliciaSecond,Alicia,8,0,8,Recovered ModifierBase passed to the shared DPS helper
Resolved,GraphCombo:AliciaThird,Alicia,8,0,8,Recovered ModifierBase passed to the shared DPS helper
Code-traced,GraphCombo:BattleballPitcherFirst,Battleball Pitcher Myth,8,8,0,"Projectile hit, EX follow-up and post-hit DEF debuff order"
Code-traced,GraphCombo:BattleballPitcherSecond,Battleball Pitcher Myth,8,8,0,"Projectile hit, EX follow-up and post-hit DEF debuff order"
Code-traced,GraphCombo:BattleballPitcherThird,Battleball Pitcher Myth,8,8,0,"Projectile hit, EX follow-up and post-hit DEF debuff order"
Resolved,GraphCombo:CarpGirlFirst,Geumrin,8,0,8,Recovered ModifierBase passed to the shared DPS helper
Resolved,GraphCombo:CarpGirlFourth,Geumrin,8,0,8,Recovered ModifierBase passed to the shared DPS helper
Resolved,GraphCombo:CarpGirlSecond,Geumrin,8,0,8,Recovered ModifierBase passed to the shared DPS helper
Resolved,GraphCombo:CarpGirlThird,Geumrin,8,0,8,Recovered ModifierBase passed to the shared DPS helper
Resolved,GraphCombo:EternalFlameFirst,Eternal Flame Myth,8,0,8,Every ApplyDamage node in the extracted graph has a resolved GetModifier input
Resolved,GraphCombo:EternalFlameSecond,Eternal Flame Myth,8,0,8,Every ApplyDamage node in the extracted graph has a resolved GetModifier input
Resolved,GraphCombo:EternalFlameThird,Eternal Flame Myth,8,0,8,Every ApplyDamage node in the extracted graph has a resolved GetModifier input
Resolved,GraphCombo:FirstBishopFirst,First Bishop Myth,8,0,8,Recovered ModifierBase passed to the shared DPS helper
